Run,midrun_time_Unix,Duration_s,Phase,N_orig,N_cut,cut_file,A_mBq_m-3,Delta_A
1547,1744351973.78771,16444.9,0,72712,2323,run_1547_cut.root,187.76111608075837,0.7845941240842954
1564,1744447195.213156,28799.7,0,138718,4653,run_1564_cut.root,214.7498029130601,0.7095643050556893
1567,1744484280.374531,43199.9,0,202908,6860,run_1567_cut.root,211.07123897704665,0.6203067393958599
1569,1744540379.279847,15410.6,0,74309,2460,run_1569_cut.root,212.1794133771987,0.8790944515649866
1572,1744570764.822036,43200.0,0,202344,6744,run_1572_cut.root,207.5016239948453,0.6103009407262161
1573,1744613975.186387,43200.3,0,208665,6951,run_1573_cut.root,213.86918330092203,0.6235623235991329
1574,1744641884.831936,12600.4,0,60135,1927,run_1574_cut.root,203.27551398654137,0.9167196939227292
1577,1744670854.929423,43200.4,0,207914,6878,run_1577_cut.root,211.6226208747855,0.6176400838499128
1578,1744711147.8548582,36525.3,0,175777,5756,run_1578_cut.root,209.46654953884425,0.6421277219838225
1582,1744794799.766395,43199.9,0,211691,7010,run_1582_cut.root,215.68649930453307,0.6263219756511444
1589,1744876625.958913,43200.5,0,213296,7199,run_1589_cut.root,221.49865093989283,0.6418425029413263
1592,1744920907.022924,43199.4,0,205351,6594,run_1592_cut.root,202.88919225627984,0.5942336309077392
1594,1744964877.5976088,15442.2,0,76476,2574,run_1594_cut.root,221.5578055006999,0.9076977222198288
1604,1745018116.918684,43199.0,0,213699,7035,run_1604_cut.root,216.46021895744803,0.626912192807088
1605,1745054126.3001678,28800.2,0,142387,4599,run_1605_cut.root,212.2538571430601,0.6953253595465206
1608,1745091194.674519,43200.3,0,209770,6741,run_1608_cut.root,207.40787866947423,0.6038250049268143
1610,1745146706.392033,29621.4,0,141492,4557,run_1610_cut.root,204.4848480084524,0.6712598196654498
1613,1745184213.6363351,43200.3,0,203365,6465,run_1613_cut.root,198.91587829671423,0.5842090329703641
1614,1745225857.465604,40068.5,0,192078,6200,run_1614_cut.root,205.672529901305,0.6140872221925899
1617,1745268556.798395,43200.1,0,201298,6384,run_1617_cut.root,196.424570162708,0.5785781477032255
1618,1745311768.254574,43200.1,0,215706,6989,run_1618_cut.root,215.0393673037541,0.6211786439784087
1621,1745356236.7218091,43200.4,0,210591,6935,run_1621_cut.root,213.37639950081964,0.6205196731302275
1623,1745400571.417685,32933.8,0,164702,5388,run_1623_cut.root,217.4570181272743,0.6800555903343711
1626,1745439709.982265,43199.9,0,212922,6976,run_1626_cut.root,214.64037363030283,0.6222740112956283
1632,1745517453.578878,43200.5,0,212378,6638,run_1632_cut.root,204.2378170494525,0.5925390634601997
1633,1745556502.260135,34874.1,0,178107,5834,run_1633_cut.root,222.35715129205536,0.6789398403762943
1643,1745618913.6395462,43200.4,0,212018,6730,run_1643_cut.root,207.0689500563109,0.601038053411216
1644,1745658944.352028,36841.3,0,181060,5710,run_1644_cut.root,206.0102584487317,0.6259298685569236
1647,1745700988.224066,43001.0,0,212067,6857,run_1647_cut.root,211.95481130652988,0.6151799562708332
1648,1745740406.35397,35416.3,0,185193,6176,run_1648_cut.root,231.78844652916928,0.6995354795224858
1651,1745780824.561912,43201.0,0,209421,6704,run_1651_cut.root,206.2661160778288,0.6007823663761427
1659,1745859607.170387,43201.0,0,211250,6749,run_1659_cut.root,207.65065892143,0.6033395586282517
1660,1745917794.900413,29959.9,0,149701,4851,run_1660_cut.root,215.218004554604,0.69367272898057
1664,1745998659.690656,43201.0,0,226822,7323,run_1664_cut.root,225.31127208203165,0.6419292375398189
1668,1746055887.259035,43201.0,0,221457,7221,run_1668_cut.root,222.172974969869,0.6371387741942292
1669,1746091479.2941508,27965.2,0,148348,4955,run_1669_cut.root,235.51220273743695,0.761305912536946
1672,1746128131.146472,43201.0,0,223587,7322,run_1672_cut.root,225.28050446328496,0.644358566686739
1673,1746168041.054643,36600.7,0,198526,6426,run_1673_cut.root,233.36676984811737,0.6901354971916775
1684,1746261671.103269,35575.0,0,196081,6433,run_1684_cut.root,240.35675267638285,0.7133548551286553
1687,1746302453.691467,43201.0,0,231664,7365,run_1687_cut.root,226.60351206939276,0.6419359805760081
1689,1746361539.563298,18185.2,0,102771,3339,run_1689_cut.root,244.05405195829323,0.8946793763263926
1692,1746393378.675762,43201.0,0,232434,7314,run_1692_cut.root,225.0343635133114,0.6369225783069792
1693,1746436589.188676,43201.0,0,241466,7698,run_1693_cut.root,236.84912911204145,0.663594792828806
1696,1746481022.532739,43201.0,0,239250,7732,run_1696_cut.root,237.89522814942904,0.6681522231736511
1697,1746521539.432712,37812.4,0,214351,6867,run_1697_cut.root,241.39067501578447,0.6985223726365525
1703,1746593537.557872,43201.0,0,245794,8037,run_1703_cut.root,247.27935186717036,0.6895922772570195
1704,1746624178.434537,18061.9,0,104271,3387,run_1704_cut.root,249.25245720277468,0.9089651240232004
1708,1746657425.738718,43201.0,0,245341,7927,run_1708_cut.root,243.8949138050341,0.6804824481844772
1709,1746698834.4191592,39600.8,0,222473,7175,run_1709_cut.root,240.82725259058955,0.689768341563099
1712,1746741359.118987,43201.0,0,240953,7598,run_1712_cut.root,233.77236723737215,0.6553421781168859
1713,1746773546.018744,21154.0,0,125520,4289,run_1713_cut.root,269.4953223160649,0.92084455671419
1724,1746831764.273777,43201.0,0,257223,8482,run_1724_cut.root,260.97094220944865,0.7192661911505943
1725,1746870904.533881,35061.6,0,215264,7122,run_1725_cut.root,269.99636907109766,0.7803762483982212
1733,1746997035.431001,43201.0,0,244432,7877,run_1733_cut.root,242.35653286769949,0.6768482804990933
1737,1747067166.118994,43201.0,0,246208,7718,run_1737_cut.root,237.46448148697533,0.6619300447069135
1753,1747268023.760846,43201.0,0,302584,10486,run_1753_cut.root,322.62925017782106,0.8544112910292361
1754,1747301563.696217,23857.0,0,167547,5866,run_1754_cut.root,326.82397915050075,1.0166786294111254
1757,1747336267.658158,43201.0,0,298638,10200,run_1757_cut.root,313.82971121626696,0.8336910879865657
1758,1747373750.606498,31745.8,0,226688,7962,run_1758_cut.root,333.3677490472105,0.9499429750732034
1770,1747439964.530194,43201.0,0,304935,10021,run_1770_cut.root,308.3223074606089,0.815037969876573
1771,1747475206.761563,27262.1,0,188425,6096,run_1771_cut.root,297.21678839902097,0.8924252825449721
1774,1747511518.19168,43201.0,0,287060,9162,run_1774_cut.root,281.8929229571998,0.7559825038526395
1775,1747553480.99878,40701.6,0,269546,8589,run_1775_cut.root,280.4909194582107,0.7639678901022988
1778,1747596526.924802,43201.0,0,268435,8499,run_1778_cut.root,261.4939917281424,0.7129630131335697
1779,1747638632.8655171,40991.3,0,263684,8729,run_1779_cut.root,283.0482583637732,0.7752069386197554
1782,1747682143.362622,43201.0,0,267652,8437,run_1782_cut.root,259.58639936584746,0.7082805737294062
1784,1747733198.1033769,26875.7,0,170298,5645,run_1784_cut.root,279.1848495574563,0.8641462708117402
1787,1747769341.888105,43201.0,0,275609,8944,run_1787_cut.root,275.1855820704207,0.7453835567734897
1788,1747812552.222127,43201.0,0,274082,8790,run_1788_cut.root,270.44736878343,0.7335578331866046
1792,1747858291.623808,43201.0,0,270966,8633,run_1792_cut.root,265.6168526401993,0.7225070432099763
1797,1747932876.836187,43201.0,0,272060,8585,run_1797_cut.root,264.14000694035803,0.71776896308243
1798,1747970974.733088,32975.0,0,203850,6342,run_1798_cut.root,255.640182374284,0.7502970261220623
